iter	Passed	Remaining
0	0	35
1	0	32
2	0	30
3	1	27
4	1	28
5	1	27
6	2	27
7	2	26
8	2	26
9	2	26
10	3	26
11	3	26
12	3	26
13	4	26
14	4	26
15	4	26
16	5	25
17	5	25
18	5	24
19	6	24
20	6	23
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	8	22
27	8	22
28	9	22
29	9	21
30	9	21
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	19
42	14	18
43	14	18
44	15	18
45	15	18
46	15	18
47	16	17
48	16	17
49	17	17
50	17	16
51	18	16
52	18	16
53	19	16
54	19	15
55	19	15
56	19	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	13
63	22	12
64	22	12
65	23	12
66	23	11
67	24	11
68	24	11
69	25	10
70	25	10
71	26	10
72	26	9
73	26	9
74	27	9
75	27	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	7
81	30	6
82	30	6
83	31	5
84	31	5
85	32	5
86	32	4
87	33	4
88	33	4
89	33	3
90	34	3
91	34	3
92	35	2
93	35	2
94	35	1
95	36	1
96	36	1
97	37	0
98	37	0
99	37	0
